scenario_seed,scenario_hash,generated,completed,abandoned,unfinished,unique_denied,waiting_pm,onboard_pm,crowding_pm,active_bus_min,deadhead_bus_min,excessive_wait_pm,first_denied_count,abandoned_count,mission_changes,terminal_unfinished_count,total_cost,total_cost_core,reward,mean_wait,p95_wait,completed_share,abandoned_share,unfinished_share,unique_denied_share,excessive_wait_share,censored_share,worst_route_id,worst_route_mean_wait,mean_headway_s,p95_headway_s,gap20_count,headway_target_violations,reserve_dispatches,reassigns,short_turns,recalls,decisions,wall_s,scenario_index,method,model_seed,split
13748483928322268646,3d74079aea53f13338e081cbea23c9af98d4a005b099c3a7c06e04c84471d36a,1503,1503,0,0,0,11334.5,9704.5,0.0,2160.0,0.0,104.0,0,0,0,0,14944.625,14944.625,-4.981541666666669,7.541250831669993,15.0,1.0,0.0,0.0,0.0,0.0632069194943446,0.0,2,7.845841784989858,914.0,976.5,1,8,0,0,0,0,120,0.4046274309985165,21,fixed,,validation
6493343872504967042,f51e04de457608ef235af78d58b52e8ecc1dbfef731b92d9cc458461cbeca4dd,1574,1574,0,0,0,11917.0,9900.5,0.0,2160.0,0.0,153.0,0,0,0,0,15625.125,15625.125,-5.208375000000005,7.571156289707751,15.0,1.0,0.0,0.0,0.0,0.0616264294790343,0.0,1,7.881901840490798,915.3333333333334,946.5,1,11,0,0,0,0,120,0.4495432430012442,22,fixed,,validation
1807724498165244510,eefe2a7b412a363c16df4ce62b2dc20e57035d0caf0560309386a32c875ea479,1553,1553,0,0,0,11423.5,10170.0,0.0,2160.0,0.0,136.0,0,0,0,0,15182.0,15182.0,-5.060666666666668,7.355763039278815,15.5,1.0,0.0,0.0,0.0,0.0656793303283966,0.0,0,7.666037735849057,914.6666666666666,960.0,2,10,0,0,0,0,120,0.4056768779992126,23,fixed,,validation
14496686073476133525,dd288e2e0c9dd2f312ac3938c5aeba0b55aaf8dacd531876d0121dfbc04cc274,1624,1624,0,0,0,12088.5,10458.0,0.0,2160.0,0.0,87.5,0,0,0,0,15870.5,15870.5,-5.290166666666668,7.44365763546798,15.0,1.0,0.0,0.0,0.0,0.0511083743842364,0.0,2,7.555555555555555,913.3333333333334,930.0,2,11,0,0,0,0,120,0.4173601789989334,24,fixed,,validation
9025922740173681850,14d4586aeb4c5985b39c67a7bedca96cf4ad87156d1c99be684e6f7a38d9a2b2,1721,1721,0,0,0,12822.5,10900.0,0.0,2160.0,0.0,120.5,0,0,0,0,16748.0,16748.0,-5.582666666666667,7.4506101104009295,15.0,1.0,0.0,0.0,0.0,0.0563625798954096,0.0,0,7.486161251504212,914.6666666666666,960.0,2,8,0,0,0,0,120,0.4364463720012281,25,fixed,,validation
15838780127950940774,15a514845808a0c5463e4466b26358b15d70852383368a0db5f1c7dce26721f9,1467,1467,0,0,0,10823.0,9397.5,0.0,2160.0,0.0,73.0,0,0,0,0,14325.375,14325.375,-4.775124999999998,7.377641445126108,15.0,1.0,0.0,0.0,0.0,0.0511247443762781,0.0,0,7.406666666666666,915.3333333333334,1006.5,1,8,0,0,0,0,120,0.3938705319997098,26,fixed,,validation
12931138876971287635,f24f79b80e14c81582388609a83b09063e5ac427f9b2052bf234eec4d0ff9baf,1507,1507,0,0,0,11205.5,9705.5,0.0,2160.0,0.0,100.5,0,0,0,0,14812.375,14812.375,-4.937458333333332,7.435633709356337,15.0,1.0,0.0,0.0,0.0,0.0590577305905773,0.0,1,7.554989816700611,913.3333333333334,976.5,1,6,0,0,0,0,120,0.4044969059978029,27,fixed,,validation
442006588871635495,4bd95f8ab757c8ea401f93514548908918ffff2f5e272873bbdeb2dc74e9c35a,1707,1707,0,0,0,12397.0,11042.5,0.0,2160.0,0.0,119.0,0,0,0,0,16356.625,16356.625,-5.452208333333335,7.262448740480375,15.0,1.0,0.0,0.0,0.0,0.0550673696543643,0.0,2,7.520238095238096,915.3333333333334,976.5,0,9,0,0,0,0,120,0.4358507100005226,28,fixed,,validation
7659782847812233232,5113242d6923c51afdf3df8ce0f0e5fba1bd615f435e2b059b58510249128d30,1676,1676,0,0,0,12248.0,10534.5,0.0,2160.0,0.0,97.0,0,0,0,0,16058.625,16058.625,-5.352875000000003,7.307875894988067,15.0,1.0,0.0,0.0,0.0,0.055489260143198,0.0,0,7.471733668341709,914.3333333333334,976.5,1,10,0,0,0,0,120,0.4486176339996746,29,fixed,,validation
6841613443374289388,f56d1c6959415787bf86d2b15c4f7658af5b40f7305d36bd6829ba9d7eb18cd4,1886,1886,0,0,0,13754.5,12321.0,22.5,2160.0,0.0,117.5,0,0,0,0,18043.5,18043.5,-6.014500000000002,7.292948038176034,15.0,1.0,0.0,0.0,0.0,0.0546129374337221,0.0,0,7.381118881118881,914.6666666666666,976.5,1,11,0,0,0,0,120,0.4869850300019607,30,fixed,,validation
2473373350599339653,d85271739759099cd81077ab1faaf8fe662bd36e3d8ec4c9340b1cc536f92da4,1695,1695,0,0,0,12400.0,11042.0,0.0,2160.0,0.0,92.5,0,0,0,0,16333.0,16333.0,-5.444333333333335,7.315634218289086,14.5,1.0,0.0,0.0,0.0,0.0442477876106194,0.0,0,7.497287522603978,914.0,1006.5,1,8,0,0,0,0,120,0.4412817640004505,31,fixed,,validation
16399067810724367669,8687a60f8cb26f8112b54d312241c189a9596b7721cc619b1c120b4c19f62fa4,1604,1604,0,0,0,11712.5,10274.0,0.0,2160.0,0.0,112.5,0,0,0,0,15473.5,15473.5,-5.157833333333337,7.302057356608479,15.0,1.0,0.0,0.0,0.0,0.0542394014962593,0.0,1,7.457716701902749,915.0,1006.5,1,8,0,0,0,0,120,0.4148319560008531,32,fixed,,validation
8849976403847908673,520048ca97cfbfb2869acce67d169f39dcfbb70ef00dde2c79e8d1073fa191e3,1633,1633,0,0,0,12021.0,10709.0,0.0,2160.0,0.0,119.0,0,0,0,0,15897.25,15897.25,-5.299083333333336,7.361298224127373,15.0,1.0,0.0,0.0,0.0,0.0545009185548071,0.0,0,7.467576791808874,914.0,932.9999999999998,3,5,0,0,0,0,120,0.4074757039998076,33,fixed,,validation
5752326567894464541,2bb32f0642e2413fae2b0da736c470c9f1b1da00f688d5cd0ef73577cc78152c,1595,1595,0,0,0,11772.0,10109.0,0.0,2160.0,0.0,101.5,0,0,0,0,15480.75,15480.75,-5.16025,7.380564263322884,15.0,1.0,0.0,0.0,0.0,0.0570532915360501,0.0,0,7.479241877256317,914.0,990.0,0,9,0,0,0,0,120,0.4257350660009251,34,fixed,,validation
