arm,split,scenario_seed,arm_cost,core_cost,delta
core,test_id,12370315954728542580,12026.625,12026.625,0.0
core,test_id,12433065571216691902,13381.875,13381.875,0.0
core,test_id,12532392004662235168,13206.958333333334,13206.958333333334,0.0
core,test_id,12553769990289448809,12688.958333333334,12688.958333333334,0.0
core,test_id,12675256731948077824,12529.291666666666,12529.291666666666,0.0
core,test_id,12746889685680303935,13249.208333333334,13249.208333333334,0.0
core,test_id,12794140508701276895,12254.208333333334,12254.208333333334,0.0
core,test_id,12857116075601347116,12922.916666666666,12922.916666666666,0.0
core,test_id,12871748601989598042,12455.166666666666,12455.166666666666,0.0
core,test_id,12885869865085967833,12072.041666666666,12072.041666666666,0.0
core,test_id,12896200065118004326,11953.791666666666,11953.791666666666,0.0
core,test_id,12994418886499024676,13064.041666666666,13064.041666666666,0.0
core,test_id,13261343001396828270,14054.541666666666,14054.541666666666,0.0
core,test_id,13282553474799146601,13349.041666666666,13349.041666666666,0.0
core,test_id,13347125549191899927,12258.333333333334,12258.333333333334,0.0
core,test_id,13423640271918994168,13483.541666666666,13483.541666666666,0.0
core,test_id,13429478478636505090,12463.666666666666,12463.666666666666,0.0
core,test_id,13431575969253347362,12953.708333333334,12953.708333333334,0.0
core,test_id,13490119448939922521,14249.5,14249.5,0.0
core,test_id,13553391596475082418,12632.833333333334,12632.833333333334,0.0
core,test_id,13602249223839381100,13674.208333333334,13674.208333333334,0.0
core,test_id,13696826226358769469,13414.583333333334,13414.583333333334,0.0
core,test_id,13699654719700400809,13490.708333333334,13490.708333333334,0.0
core,test_id,13803953881105598610,13332.5,13332.5,0.0
core,test_id,13828101979243738777,13618.916666666666,13618.916666666666,0.0
core,test_id,13935911046484203455,12801.083333333334,12801.083333333334,0.0
core,test_id,14021022926601786066,13491.916666666666,13491.916666666666,0.0
core,test_id,14130693195453348058,13659.125,13659.125,0.0
core,test_id,14146161848637675460,12750.958333333334,12750.958333333334,0.0
core,test_id,14454231675994481946,13361.583333333334,13361.583333333334,0.0
core,test_id,14682654361486538457,13252.625,13252.625,0.0
core,test_id,14720592292926469478,12414.583333333334,12414.583333333334,0.0
core,test_id,14775705014730917309,13864.625,13864.625,0.0
core,test_id,14919415739396664361,13003.958333333334,13003.958333333334,0.0
core,test_id,15011517576733594677,13275.5,13275.5,0.0
core,test_id,15017328118574222559,12782.583333333334,12782.583333333334,0.0
core,test_id,15044494062139883725,13205.583333333334,13205.583333333334,0.0
core,test_id,15150049485556435085,13711.916666666666,13711.916666666666,0.0
core,test_id,15372241390168799290,12849.375,12849.375,0.0
core,test_id,16079587671393789139,11993.208333333334,11993.208333333334,0.0
core,test_id,16142060021053616442,12937.5,12937.5,0.0
core,test_id,16524740160914888458,12601.208333333334,12601.208333333334,0.0
core,test_id,16678850068187185217,13104.875,13104.875,0.0
core,test_id,16797112964869241354,13432.958333333334,13432.958333333334,0.0
core,test_id,16861548176449520959,12238.625,12238.625,0.0
core,test_id,16956089326594344293,12370.791666666666,12370.791666666666,0.0
core,test_id,17149326288559423870,12941.666666666666,12941.666666666666,0.0
core,test_id,17348805811785892568,12358.375,12358.375,0.0
core,test_id,17556866886819120548,13632.041666666666,13632.041666666666,0.0
core,test_id,17577011195639199337,13248.541666666666,13248.541666666666,0.0
core,test_id,17734756093143325151,12664.416666666666,12664.416666666666,0.0
core,test_id,17752285085709440213,12690.125,12690.125,0.0
core,test_id,17774191990987823430,13029.708333333334,13029.708333333334,0.0
core,test_id,17776819004284239446,12178.583333333334,12178.583333333334,0.0
core,test_id,17777083591364891867,13326.041666666666,13326.041666666666,0.0
core,test_id,17845683274435767727,13387.125,13387.125,0.0
core,test_id,17971046328902831115,13535.416666666666,13535.416666666666,0.0
core,test_id,18004568296848718802,15015.416666666666,15015.416666666666,0.0
core,test_id,18134996555296091451,12826.375,12826.375,0.0
core,test_id,18152460552057253550,13094.5,13094.5,0.0
core,test_id,18223369223400253486,12114.916666666666,12114.916666666666,0.0
core,test_id,18432470025936226170,12592.875,12592.875,0.0
no_reassign,test_id,58282435349375464,13298.083333333334,13301.791666666666,-3.7083333333321207
no_reassign,test_id,114926739952950513,12915.458333333334,13022.875,-107.41666666666606
no_reassign,test_id,212742856960631129,13470.583333333334,13480.25,-9.66666666666606
no_reassign,test_id,496843236305575617,13132.333333333334,12957.208333333334,175.125
no_reassign,test_id,605074937483242339,12567.416666666666,12455.708333333334,111.70833333333212
no_reassign,test_id,616581098116127231,13973.5,13603.375,370.125
no_reassign,test_id,685623933226597154,13593.25,13650.958333333334,-57.70833333333394
no_reassign,test_id,750026157847207874,12321.125,12329.666666666666,-8.54166666666606
no_reassign,test_id,926442429017347017,12735.958333333334,12683.083333333334,52.875
no_reassign,test_id,1044598564501147964,13921.458333333334,13725.375,196.08333333333394
no_reassign,test_id,1120594312428071682,13460.958333333334,13370.791666666666,90.16666666666788
no_reassign,test_id,1282994174093506812,12512.125,12300.125,212.0
no_reassign,test_id,1343474051855839568,14127.75,14110.083333333334,17.66666666666606
