arm,split,seed,config_sha256,checkpoint_sha256,mean_cost,std_cost_across_days,mean_wait,p95_wait,worst_route_wait,unfinished_share,abandoned_share,completed_share,censored_share,unique_denied_share,active_bus_min,deadhead_bus_min
no_short,test_ood_burst,33,5acd500f1758db158451f7e8781d468df42fcd00c4840b959667f79d15c6dc79,546f120b032fe75b2e524b80655c0e87c0561735da85b4369397b1c0aab30385,25262.695625,5732.076736026062,8.084064558531153,31.01199999999998,11.732492716056315,0.0,0.018386522926774406,0.9816134770732257,0.0,0.10092355621269075,2874.0,18.0
fairness_zero,test_ood_burst,11,052dfd98596305c9182725be7c37c73da0777c303a2a49f51303a0f9d1b74d7f,e1528cfb341f866b8bf4290a26101f6db29ac30d815678b48f29090b2d762fd9,25544.153125,6433.190865691901,8.173388881241934,30.51687499999998,11.864927346991227,0.0,0.02045017170470807,0.9795498282952919,0.0,0.1005399612906153,2874.0,18.03
fairness_zero,test_ood_burst,22,052dfd98596305c9182725be7c37c73da0777c303a2a49f51303a0f9d1b74d7f,611db9ede17ba751ea141a58b6e4a562e0dad50bd7ed50c14910917ffde21b62,25488.245,6290.6307648541815,8.212818703676687,30.63549999999999,11.883023011952147,0.0,0.01891656888671805,0.981083431113282,0.0,0.10039787056049747,2874.0,18.0
fairness_zero,test_ood_burst,33,052dfd98596305c9182725be7c37c73da0777c303a2a49f51303a0f9d1b74d7f,60793a1b208ee92f18914a6ba57a7c371c3adaf38b7c1622f8d609593101e161,25265.855625,5754.445241265234,8.12159569191723,30.796874999999982,11.758559321430942,0.0,0.018310286990644863,0.9816897130093551,0.0,0.10017530838147236,2868.0,24.0
core,test_ood_traffic,11,5779ec9e39b266e77c5ef71ff4f2f7d7224175c94fe19b9a465787eca560dc3b,27045b706f12dd738c5f8f9c98c32c73ba7354eb4cb21778546817b217b91292,13447.534375,727.0093626423131,5.7095662330651065,11.885874999999997,6.037822932268293,0.0,0.0,1.0,0.0,2.0931449502878e-05,2874.0,18.03
core,test_ood_traffic,22,5779ec9e39b266e77c5ef71ff4f2f7d7224175c94fe19b9a465787eca560dc3b,39b2c56a4a3a72666765424cd59d8b952a3c64691d1f8399107432c40fede8e3,13337.13375,722.1971571173827,5.661520671443464,11.562124999999996,5.98052045953892,0.0,0.0,1.0,0.0,1.56985871271585e-05,2874.0,18.0
core,test_ood_traffic,33,5779ec9e39b266e77c5ef71ff4f2f7d7224175c94fe19b9a465787eca560dc3b,ce4227067f12252152fe31e3d70b338af47bb9d67a0ccc9c1870dbde755fb96a,13452.646875,727.0308664162542,5.7289451243847465,11.928374999999999,6.056415646313995,0.0,0.0,1.0,0.0,5.2328623757195e-06,2868.0,24.0
no_reassign,test_ood_traffic,11,595a4c50c7587dcb62b46fdb56d50b0c8017b40cd14c87bf02abfcf3687648a0,1e5a1a4b7b93f2efbc21f0580223f722fb251ff9c4d49ccede9926035198a2c9,13290.518125,742.9559166566243,5.648265966406509,11.490124999999999,5.966827681792813,0.0,0.0,1.0,0.0,1.56985871271585e-05,2874.0,18.0
no_reassign,test_ood_traffic,22,595a4c50c7587dcb62b46fdb56d50b0c8017b40cd14c87bf02abfcf3687648a0,e42f100494dfe5744adcf015bb758d5cc684f4852c684657c5658cad49f95c2d,13407.895625,720.8021470582293,5.699438750272763,11.798625,6.013041125535803,0.0,0.0,1.0,0.0,0.0,2874.0,18.0
no_reassign,test_ood_traffic,33,595a4c50c7587dcb62b46fdb56d50b0c8017b40cd14c87bf02abfcf3687648a0,85d33d90be2f713ffe11901dc3798c5ac4b1a6b5406533cb1db8a867bc360a3f,13671.5475,696.67808968038,5.859034414492892,13.308374999999998,7.538168611898215,0.0,0.0,1.0,0.0,0.0,2874.0,18.0
no_short,test_ood_traffic,11,5acd500f1758db158451f7e8781d468df42fcd00c4840b959667f79d15c6dc79,54acf021094ccf064d39862a9b72191d0321dd323f76b4a94a357d68f0197067,13448.9375,725.0210235645259,5.7106708724933215,11.880499999999998,6.032001869203396,0.0,0.0,1.0,0.0,0.0,2873.93,18.06
no_short,test_ood_traffic,22,5acd500f1758db158451f7e8781d468df42fcd00c4840b959667f79d15c6dc79,23fae599a9e4c66da0d80ef057c88e05f1ef98d576eac5911de0ac8d5fa54ff4,13954.1175,764.5865770057942,6.0024878831736865,13.890499999999998,7.506050973798104,0.0,0.0,1.0,0.0,5.5463117027175005e-06,2867.93,24.12
no_short,test_ood_traffic,33,5acd500f1758db158451f7e8781d468df42fcd00c4840b959667f79d15c6dc79,546f120b032fe75b2e524b80655c0e87c0561735da85b4369397b1c0aab30385,13443.071875,722.3898514171638,5.707418874121529,11.871499999999996,6.029608535310245,0.0,0.0,1.0,0.0,2.0931449502878e-05,2874.0,18.0
fairness_zero,test_ood_traffic,11,052dfd98596305c9182725be7c37c73da0777c303a2a49f51303a0f9d1b74d7f,e1528cfb341f866b8bf4290a26101f6db29ac30d815678b48f29090b2d762fd9,13664.286875,683.5294634829987,5.847518827074473,13.338624999999997,7.47593756311658,0.0,0.0,1.0,0.0,0.0,2874.0,18.0
fairness_zero,test_ood_traffic,22,052dfd98596305c9182725be7c37c73da0777c303a2a49f51303a0f9d1b74d7f,611db9ede17ba751ea141a58b6e4a562e0dad50bd7ed50c14910917ffde21b62,13876.289375,715.3369323299761,5.929692756974503,14.093374999999995,7.747677598591051,0.0,0.0,1.0,0.0,1.90630171833175e-05,2874.0,18.03
fairness_zero,test_ood_traffic,33,052dfd98596305c9182725be7c37c73da0777c303a2a49f51303a0f9d1b74d7f,60793a1b208ee92f18914a6ba57a7c371c3adaf38b7c1622f8d609593101e161,13454.39375,742.3030452904155,5.748165093089049,12.105124999999997,6.0753882997559945,0.0,0.0,1.0,0.0,1.8315018315018e-05,2868.0,24.0
